Course,Date course,État,Date inscription,Lieu,Type,Distance,Notes,Lien Course,Lien Inscription
Trail des Rossignols,11/01/2026,Inscriptions terminées,,Rossignol,Trail,7 - 14 - 21 - 42,0,https://werun.world/course/rossignol-run/,https://www.rossignolrun.be/inscriptions
Trail des castors,25/01/2026,Inscriptions en cours,,Florange,Trail,11,0,https://fr.milesrepublic.com/event/trail-des-castors-9502,https://fr.milesrepublic.com/event/trail-des-castors-9502
La T’givrée,07/02/2026,Inscriptions en cours,,Villerupt,Trail,10 - 18,0,https://gotiming.fr/evenement/la-t-givree/,
L'Embuscade de Volkrange,14/02/2026,Inscriptions en cours,,Terville,Trail,10 - 15,0,https://fr.milesrepublic.com/event/l-embuscade-de-volkrange-15384,
Trail du Ruisseau de Saulny,29/03/2026,Inscriptions en cours,,Saulny,Trail,10 - 16,0,https://fr.milesrepublic.com/event/trail-du-ruisseau-de-saulny-12938,
TCC By Day,29/03/2026,Inscriptions en cours,,Cattenom,Trail,10 - 18,0,https://gotrail.run/fr/course/tout-cattenom-court,https://gotiming.fr/evenement/tout-cattenom-court/
Graoully by Day,12/04/2026,Inscriptions non ouvertes,13/01/2026,Woippy,Trail,13 - 19 - 27 - 42 ,0,https://www.legendedugraoully.com/,
DKV Urban Trail,19/04/2026,Inscriptions en cours,,Luxembourg,Trail,14 - 17 - 27 - 34,0,https://werun.world/course/dkv-urban-trail/,
Semi-Marathon de Thionville,26/04/2026,Inscriptions non ouvertes,,Thionville,Route,10 - 21,4,https://fr.milesrepublic.com/event/semi-marathon-de-thionville-4208,
Trail Mont Saint Martin,26/04/2026,Inscriptions en cours,,Mont-Saint-Martin,Trail,11 - 19,0,https://gotrail.run/fr/course/trail-mont-saint-martin,https://gotiming.fr/evenement/trail-mont-saint-martin/
Foulée du Muguet,01/05/2026,Inscriptions en cours,,Mont-Bonvillers,Trail,6 - 12,0,https://gotrail.run/fr/course/foulee-du-muguet-mont-bonvillers,https://gotiming.fr/evenement/les-foulees-du-muguet/
La Fameckoise,10/05/2026,Inscriptions en cours,,Fameck,Trail,6 - 16 - 28,0,https://gotrail.run/fr/course/la-fameckoise,
ING Marathon,16/05/2026,Inscriptions en cours,,Luxembourg,Route,21 - 42,0,https://www.ing-night-marathon.lu/fr.html,
Longlav'run,17/05/2026,Inscriptions en cours,,Longlaville,Trail,10 - 17,0,https://gotrail.run/fr/course/longlavrun,
La Traversée des Abimes,23/05/2026,Inscriptions non ouvertes,,Elzange,Trail,12 - 25,0,https://www.legendedugraoully.com/,
Trail du Grand Est,23/05/2026,Inscriptions en cours,,Elzange,Trail,13 - 25,0,https://gotrail.run/fr/course/trail-du-grand-est,
Sla'Vengers Trail,01/06/2026,Inscriptions non ouvertes,,Thionville,Trail,10,0,https://www.finishers.com/course/sla-vengers-trail,
Hemera Terville Trail,06/06/2026,Inscriptions non ouvertes,,Terville,Trail,10 - 21 - 42,0,https://gotrail.run/fr/course/hemera-trail,
Tëtelbierg-Trail,07/06/2026,Inscriptions en cours,,Pétange,Trail,10 - 18,0,https://gotrail.run/fr/course/tetelbierg-trail,
Trail des Romains,07/06/2026,Inscriptions en cours,,Boust,Trail,10 - 14 - 24,0,https://gotrail.run/fr/course/trail-des-romains-boust,
RunRange,20/06/2026,Inscriptions non ouvertes,,Rurange-lès-Thionville,Trail,10 - 14 - 19,0,https://gotrail.run/fr/course/runrange,
Trail des Mines,28/06/2026,Inscriptions non ouvertes,,Rumelange,Trail,14 - 20,0,https://tdm.lu/,
La Boussoise,01/08/2026,Inscriptions non ouvertes,,Bousse,Trail,13,5,https://www.finishers.com/course/la-boussoise-2025,
Escher Kulturlaf,01/09/2026,Inscriptions non ouvertes,,Belvaux,Route,10 - 16 - 21,4,https://www.finishers.com/course/escher-kulturlaf,
Steel Run Differdange,01/09/2026,Inscriptions non ouvertes,,Differdange,Route,11,5,https://www.finishers.com/course/steel-run-differdange,
ING Route des Vins,01/09/2026,Inscriptions non ouvertes,,Remich,Route,5 - 10 - 21,0,https://www.finishers.com/course/ing-route-des-vins,
La Richemontoise,01/09/2026,Inscriptions non ouvertes,,Richemont,Trail,13,0,https://www.finishers.com/course/la-richemontoise,
Lëtz Go Gold,01/09/2026,Inscriptions non ouvertes,,Gasperich,Trail,5 - 10,0,https://www.finishers.com/course/course-solidaire-letz-go-gold,
Red Rock Challenge,01/10/2026,Inscriptions non ouvertes,,Belvaux,Trail,"10,5 - 19 - 29",0,https://www.finishers.com/course/red-rock-challenge,
TCC by Night,01/10/2026,Inscriptions non ouvertes,,Cattenom,Trail,13,5,https://gotiming.fr/evenement/tcc-by-night/,https://gotiming.fr/evenement/tout-cattenom-court/
Graoully by Night,31/10/2026,Inscriptions non ouvertes,,Woippy,Trail,13 - 22 - 30,0,https://www.legendedugraoully.com/,
Course Marcel Kiefer,01/11/2026,Inscriptions non ouvertes,,Hussigny-Godbrange,Trail,6 - 13,0,https://www.finishers.com/course/course-marcel-kiefer,
Course Marcel Kiefer #2,01/11/2026,Inscriptions non ouvertes,,Hussigny-Godbrange,Route,21,0,https://www.finishers.com/course/course-marcel-kiefer,
